id,loanAmnt,term,interestRate,installment,grade,subGrade,employmentTitle,employmentLength,homeOwnership,annualIncome,verificationStatus,issueDate,isDefault,purpose,postCode,regionCode,dti,delinquency_2years,ficoRangeLow,ficoRangeHigh,openAcc,pubRec,pubRecBankruptcies,revolBal,revolUtil,totalAcc,initialListStatus,applicationType,earliesCreditLine,title,policyCode,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14
501703,4000.0,3,13.11,134.98,C,C2,242022.0,2 years,1,14400.0,0,2010-03-01,0,0,505.0,10,5.5,0.0,700.0,704.0,6.0,0.0,0.0,2482.0,55.2,8.0,1,0,Jan-2007,15834.0,1.0,,,,,,,,,,,,,,,
722280,20000.0,3,6.03,608.72,A,A1,6599.0,5 years,0,140000.0,1,2014-08-01,0,0,63.0,14,25.95,0.0,735.0,739.0,13.0,0.0,0.0,53199.0,34.7,30.0,0,0,Sep-1999,0.0,1.0,0.0,3.0,5.0,5.0,5.0,10.0,12.0,10.0,16.0,5.0,13.0,0.0,0.0,0.0,1.0
689644,10000.0,3,9.17,318.79,B,B2,11480.0,3 years,1,52000.0,1,2015-10-01,0,0,38.0,21,9.48,0.0,685.0,689.0,14.0,0.0,0.0,14067.0,35.8,25.0,0,0,Jun-2008,0.0,1.0,0.0,6.0,7.0,7.0,6.0,6.0,10.0,13.0,15.0,7.0,14.0,0.0,0.0,0.0,2.0
220424,5400.0,3,18.06,195.39,D,D2,139705.0,10+ years,1,100000.0,1,2017-06-01,1,3,221.0,8,9.42,0.0,690.0,694.0,5.0,0.0,0.0,897.0,46.2,6.0,1,0,Feb-1999,3.0,1.0,0.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,5.0,0.0,0.0,0.0,2.0
221365,4100.0,3,8.19,128.84,A,A5,101284.0,< 1 year,1,14500.0,0,2015-02-01,0,0,459.0,8,23.92,0.0,700.0,704.0,8.0,0.0,0.0,4870.0,48.7,12.0,1,0,Oct-2002,0.0,1.0,0.0,2.0,4.0,4.0,4.0,7.0,1.0,7.0,11.0,4.0,8.0,0.0,0.0,0.0,1.0
666661,15500.0,5,14.48,364.53,C,C5,10177.0,10+ years,1,66000.0,2,2015-12-01,1,4,38.0,21,21.6,0.0,680.0,684.0,16.0,1.0,1.0,16533.0,43.5,26.0,1,0,Jan-2009,4.0,1.0,0.0,4.0,6.0,6.0,9.0,14.0,5.0,15.0,21.0,6.0,16.0,0.0,0.0,0.0,4.0
766729,16000.0,3,6.39,489.59,A,A2,70890.0,10+ years,2,50000.0,0,2015-03-01,0,4,373.0,13,18.32,0.0,690.0,694.0,13.0,0.0,0.0,24394.0,58.8,32.0,0,0,Jun-1991,4.0,1.0,0.0,6.0,7.0,7.0,7.0,18.0,4.0,9.0,22.0,7.0,13.0,0.0,0.0,0.0,0.0
393371,30000.0,3,9.75,964.5,B,B3,5781.0,10+ years,2,95000.0,1,2016-02-01,0,0,150.0,30,6.49,0.0,720.0,724.0,7.0,2.0,0.0,23556.0,47.3,19.0,0,0,Jan-1996,0.0,1.0,0.0,3.0,4.0,4.0,3.0,7.0,3.0,5.0,10.0,4.0,7.0,0.0,0.0,0.0,0.0
763584,10000.0,3,9.16,318.75,B,B2,36673.0,3 years,2,58240.0,1,2016-02-01,0,0,76.0,26,15.37,2.0,675.0,679.0,5.0,0.0,0.0,5371.0,63.2,15.0,0,0,Sep-2001,0.0,1.0,2.0,1.0,3.0,3.0,1.0,5.0,5.0,3.0,9.0,3.0,5.0,0.0,0.0,1.0,1.0
603776,8725.0,3,16.99,311.03,D,D3,280.0,6 years,1,130000.0,1,2015-02-01,0,5,390.0,13,12.22,2.0,665.0,669.0,10.0,0.0,0.0,5798.0,80.5,26.0,1,0,Oct-2001,6.0,1.0,3.0,2.0,3.0,3.0,2.0,6.0,17.0,4.0,8.0,3.0,10.0,0.0,0.0,2.0,4.0
619790,28000.0,3,9.49,896.8,B,B2,64745.0,8 years,0,125000.0,2,2016-10-01,0,4,31.0,2,28.48,0.0,690.0,694.0,15.0,0.0,0.0,18106.0,42.4,33.0,0,0,Jun-1994,4.0,1.0,0.0,4.0,6.0,6.0,5.0,9.0,12.0,9.0,18.0,6.0,15.0,0.0,0.0,0.0,2.0
748239,20000.0,3,7.89,625.72,A,A5,86192.0,8 years,0,109000.0,2,2015-04-01,0,0,115.0,8,10.21,2.0,740.0,744.0,21.0,0.0,0.0,47779.0,12.0,42.0,0,0,Apr-1997,0.0,1.0,0.0,5.0,6.0,6.0,11.0,13.0,6.0,17.0,25.0,7.0,21.0,0.0,0.0,0.0,2.0
496290,6000.0,3,7.24,185.93,A,A3,132.0,8 years,0,74600.0,0,2017-04-01,0,2,312.0,12,24.12,0.0,780.0,784.0,10.0,0.0,0.0,8538.0,22.4,21.0,0,0,Feb-2001,5.0,1.0,0.0,2.0,3.0,3.0,2.0,4.0,6.0,5.0,9.0,3.0,10.0,0.0,0.0,0.0,0.0
298474,17325.0,5,15.22,414.17,C,C3,269686.0,6 years,1,40000.0,1,2013-09-01,0,0,216.0,8,15.08,0.0,695.0,699.0,8.0,0.0,0.0,17908.0,49.3,18.0,0,0,May-2006,191.0,1.0,0.0,1.0,5.0,5.0,3.0,11.0,1.0,7.0,16.0,5.0,8.0,0.0,0.0,0.0,1.0
186184,17100.0,5,18.99,443.49,E,E1,55466.0,10+ years,0,85000.0,0,2014-10-01,0,0,323.0,12,16.35,2.0,665.0,669.0,13.0,0.0,0.0,21456.0,76.1,29.0,0,0,Jun-2000,0.0,1.0,0.0,4.0,9.0,9.0,4.0,10.0,5.0,11.0,20.0,9.0,13.0,0.0,0.0,0.0,0.0
13118,12000.0,3,10.99,392.81,B,B4,616.0,< 1 year,1,40000.0,0,2016-08-01,1,0,248.0,11,12.75,0.0,715.0,719.0,7.0,1.0,1.0,5286.0,32.4,17.0,0,0,Aug-1989,0.0,1.0,0.0,1.0,4.0,4.0,1.0,2.0,5.0,6.0,12.0,4.0,7.0,0.0,0.0,0.0,1.0
405703,12000.0,3,17.27,429.45,C,C5,332427.0,6 years,1,86000.0,0,2012-10-01,0,4,143.0,8,3.44,0.0,665.0,669.0,19.0,0.0,0.0,12435.0,28.9,29.0,1,0,Nov-2006,53202.0,1.0,0.0,5.0,6.0,6.0,12.0,17.0,2.0,19.0,27.0,6.0,19.0,0.0,0.0,0.0,2.0
564350,28000.0,5,11.44,614.95,B,B4,4229.0,10+ years,0,186000.0,1,2016-12-01,1,4,517.0,14,14.36,0.0,695.0,699.0,18.0,0.0,0.0,69374.0,50.0,45.0,1,0,Mar-1997,4.0,1.0,0.0,8.0,14.0,14.0,17.0,17.0,10.0,14.0,29.0,10.0,17.0,,0.0,0.0,4.0
557362,7000.0,5,14.17,163.5,C,C5,234604.0,8 years,1,84000.0,0,2011-01-01,0,8,74.0,30,19.71,0.0,705.0,709.0,24.0,0.0,0.0,34971.0,83.9,46.0,1,0,May-1986,4353.0,1.0,,,,,,,,,,,,,,,
209303,20000.0,3,18.99,733.02,D,D3,482.0,8 years,1,367655.0,1,2016-12-01,1,4,131.0,6,6.86,0.0,660.0,664.0,23.0,1.0,1.0,50601.0,53.0,32.0,1,0,Jan-1997,4.0,1.0,0.0,12.0,20.0,20.0,16.0,16.0,3.0,20.0,27.0,16.0,23.0,,0.0,0.0,8.0
108492,16000.0,3,7.26,495.94,A,A4,18269.0,10+ years,0,55000.0,0,2015-11-01,0,0,488.0,24,24.94,0.0,810.0,814.0,23.0,0.0,0.0,10858.0,6.0,44.0,0,0,Nov-1999,0.0,1.0,0.0,9.0,11.0,11.0,16.0,26.0,9.0,18.0,32.0,11.0,23.0,0.0,0.0,0.0,4.0
82329,15000.0,3,6.03,456.54,A,A1,178310.0,< 1 year,2,160000.0,0,2014-05-01,0,4,263.0,0,7.1,0.0,755.0,759.0,10.0,0.0,0.0,28207.0,30.4,26.0,0,0,Apr-1986,4.0,1.0,0.0,3.0,4.0,4.0,7.0,14.0,8.0,8.0,18.0,4.0,10.0,0.0,0.0,0.0,0.0
734779,24000.0,5,19.99,635.72,E,E4,4750.0,7 years,1,64104.0,1,2015-05-01,0,4,406.0,8,15.71,0.0,700.0,704.0,6.0,0.0,0.0,7944.0,70.9,12.0,1,0,May-2002,4.0,1.0,0.0,2.0,4.0,4.0,3.0,8.0,2.0,5.0,10.0,4.0,6.0,0.0,0.0,0.0,2.0
203929,6450.0,3,14.49,221.99,C,C4,56488.0,< 1 year,1,26000.0,2,2014-10-01,0,5,552.0,0,25.6,0.0,670.0,674.0,25.0,0.0,0.0,11096.0,39.9,31.0,0,0,Aug-2005,6.0,1.0,0.0,4.0,7.0,7.0,9.0,10.0,11.0,15.0,20.0,7.0,25.0,0.0,0.0,0.0,5.0
465228,4775.0,3,13.67,162.44,B,B5,347981.0,4 years,1,21000.0,1,2012-04-01,0,0,612.0,7,10.06,0.0,685.0,689.0,8.0,0.0,0.0,3983.0,57.7,32.0,1,0,Jun-2002,46672.0,1.0,,,,,,,,,,,,,,,
735817,9000.0,3,11.47,296.66,B,B5,139684.0,1 year,1,26000.0,2,2016-02-01,0,4,209.0,21,20.27,0.0,665.0,669.0,9.0,0.0,0.0,9216.0,44.7,22.0,0,0,Apr-1995,4.0,1.0,1.0,3.0,4.0,4.0,3.0,7.0,9.0,4.0,11.0,4.0,9.0,0.0,0.0,0.0,2.0
718211,23400.0,5,25.78,697.57,F,F5,51159.0,1 year,1,65000.0,2,2015-05-01,0,0,9.0,7,20.27,2.0,660.0,664.0,9.0,0.0,0.0,15080.0,84.0,17.0,1,0,Oct-2000,0.0,1.0,0.0,5.0,6.0,6.0,3.0,5.0,9.0,6.0,6.0,5.0,9.0,,0.0,0.0,1.0
263219,10000.0,3,8.18,314.2,B,B1,70940.0,3 years,2,125000.0,0,2015-06-01,0,0,422.0,30,14.17,1.0,700.0,704.0,11.0,0.0,0.0,15597.0,83.9,26.0,1,0,Oct-2003,0.0,1.0,0.0,4.0,5.0,5.0,4.0,6.0,14.0,6.0,10.0,6.0,11.0,0.0,0.0,0.0,0.0
444011,10000.0,3,10.91,326.97,B,B4,21553.0,5 years,2,32000.0,1,2017-11-01,0,8,400.0,17,2.44,0.0,715.0,719.0,2.0,0.0,0.0,2882.0,48.0,3.0,0,0,Aug-2014,9.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
392219,14250.0,3,10.15,460.82,B,B2,151854.0,< 1 year,1,34000.0,1,2014-10-01,0,0,52.0,19,18.07,0.0,695.0,699.0,14.0,0.0,0.0,16882.0,60.1,27.0,0,0,Jul-2002,0.0,1.0,4.0,4.0,5.0,5.0,5.0,8.0,8.0,10.0,19.0,5.0,14.0,0.0,0.0,0.0,0.0
556725,30000.0,3,14.46,1032.05,C,C4,151.0,10+ years,1,130000.0,1,2016-03-01,0,6,167.0,8,13.14,0.0,680.0,684.0,10.0,0.0,0.0,11853.0,73.6,32.0,0,0,Nov-2002,7.0,1.0,5.0,3.0,5.0,5.0,5.0,12.0,5.0,7.0,23.0,5.0,10.0,0.0,0.0,0.0,0.0
481318,7000.0,3,14.65,241.46,C,C5,16195.0,7 years,0,48000.0,1,2015-10-01,0,0,139.0,8,22.8,0.0,680.0,684.0,11.0,0.0,0.0,12230.0,70.7,19.0,1,0,Nov-2008,0.0,1.0,0.0,3.0,7.0,7.0,3.0,4.0,5.0,8.0,12.0,7.0,11.0,0.0,0.0,0.0,3.0
443666,20000.0,3,12.05,664.77,C,C1,22955.0,10+ years,2,95000.0,1,2015-11-01,0,5,35.0,14,8.82,0.0,660.0,664.0,17.0,0.0,0.0,22648.0,51.2,19.0,1,0,Dec-2001,6.0,1.0,0.0,11.0,11.0,11.0,14.0,15.0,1.0,17.0,18.0,11.0,17.0,0.0,0.0,0.0,6.0
325297,18000.0,3,11.14,590.5,B,B2,315115.0,10+ years,1,72000.0,0,2013-02-01,0,0,316.0,26,26.98,0.0,705.0,709.0,8.0,0.0,0.0,29822.0,84.7,18.0,1,0,Mar-1990,455.0,1.0,0.0,5.0,5.0,5.0,5.0,12.0,3.0,6.0,13.0,5.0,8.0,0.0,0.0,0.0,1.0
722634,33175.0,5,29.67,1066.61,G,G3,55.0,8 years,0,112000.0,2,2016-05-01,0,4,31.0,2,29.77,0.0,665.0,669.0,18.0,0.0,0.0,48149.0,84.9,57.0,1,0,Sep-1991,4.0,1.0,0.0,6.0,8.0,8.0,7.0,13.0,22.0,10.0,28.0,8.0,18.0,0.0,0.0,0.0,3.0
515933,12000.0,3,13.65,408.1,C,C1,204975.0,2 years,0,56000.0,0,2014-04-01,0,0,455.0,13,28.78,0.0,720.0,724.0,21.0,0.0,0.0,28068.0,44.3,29.0,1,0,Aug-1993,0.0,1.0,0.0,5.0,8.0,8.0,10.0,17.0,3.0,19.0,26.0,8.0,21.0,0.0,0.0,0.0,2.0
627060,8000.0,3,12.29,266.83,C,C1,30894.0,4 years,0,56000.0,1,2015-10-01,0,0,204.0,24,15.39,0.0,675.0,679.0,13.0,0.0,0.0,5411.0,36.8,46.0,0,0,Dec-1999,0.0,1.0,1.0,5.0,7.0,7.0,6.0,11.0,22.0,11.0,24.0,7.0,13.0,0.0,0.0,0.0,1.0
215351,9450.0,3,12.35,315.46,B,B4,286335.0,9 years,1,27000.0,2,2013-07-01,0,0,359.0,43,34.09,0.0,665.0,669.0,11.0,1.0,1.0,7917.0,67.7,33.0,1,0,Aug-2001,37448.0,1.0,0.0,4.0,4.0,4.0,4.0,18.0,11.0,6.0,21.0,4.0,10.0,0.0,0.0,0.0,1.0
257371,2500.0,3,12.12,83.18,B,B3,341538.0,< 1 year,1,40000.0,0,2012-07-01,0,0,120.0,21,0.58,0.0,720.0,724.0,3.0,0.0,0.0,1166.0,3.5,4.0,1,0,Dec-1994,56702.0,1.0,,,,,3.0,,,,,,3.0,,,,
497883,8000.0,3,21.45,303.26,D,D5,54.0,,0,50000.0,0,2017-11-01,1,4,143.0,8,37.76,0.0,675.0,679.0,22.0,1.0,1.0,35324.0,61.4,31.0,1,1,Nov-2002,4.0,1.0,0.0,5.0,15.0,15.0,7.0,8.0,7.0,19.0,24.0,15.0,22.0,0.0,0.0,0.0,3.0
584057,15000.0,3,8.39,472.75,B,B1,1383.0,< 1 year,0,80800.0,1,2016-06-01,0,9,16.0,5,28.99,0.0,720.0,724.0,13.0,0.0,0.0,7367.0,38.8,42.0,0,0,Apr-2005,10.0,1.0,0.0,2.0,2.0,2.0,6.0,8.0,25.0,8.0,15.0,2.0,13.0,0.0,0.0,0.0,3.0
294246,14000.0,3,13.49,475.03,C,C2,31065.0,5 years,0,117000.0,1,2017-05-01,0,0,103.0,36,13.84,6.0,675.0,679.0,17.0,0.0,0.0,21021.0,68.3,40.0,0,0,Aug-1994,0.0,1.0,0.0,7.0,13.0,13.0,7.0,12.0,16.0,14.0,22.0,13.0,17.0,0.0,0.0,0.0,3.0
651272,4500.0,3,10.99,147.31,B,B2,8648.0,10+ years,2,60000.0,1,2013-11-01,0,4,103.0,36,15.62,0.0,715.0,719.0,9.0,1.0,1.0,6946.0,38.2,16.0,1,0,Jan-2003,24212.0,1.0,0.0,6.0,7.0,7.0,6.0,8.0,3.0,7.0,11.0,7.0,9.0,0.0,0.0,0.0,2.0
308061,9000.0,3,8.18,282.78,B,B1,475.0,3 years,1,39000.0,1,2015-04-01,0,0,64.0,14,6.28,0.0,675.0,679.0,7.0,0.0,0.0,8047.0,59.6,22.0,0,0,Dec-2003,0.0,1.0,2.0,2.0,3.0,3.0,3.0,6.0,12.0,4.0,10.0,3.0,7.0,0.0,0.0,0.0,0.0
301354,2600.0,3,13.67,88.45,B,B5,349287.0,1 year,0,22000.0,1,2012-03-01,0,3,286.0,16,8.02,0.0,675.0,679.0,4.0,0.0,0.0,5765.0,58.2,14.0,1,0,May-1997,10615.0,1.0,,,,,,,,,,,,,,,
481161,15600.0,5,9.44,327.18,B,B1,199.0,1 year,0,158600.0,2,2017-06-01,0,4,158.0,9,6.76,2.0,685.0,689.0,8.0,0.0,0.0,14645.0,30.1,33.0,0,0,Apr-1995,4.0,1.0,0.0,4.0,5.0,5.0,5.0,8.0,15.0,6.0,15.0,5.0,8.0,0.0,0.0,0.0,3.0
480827,8000.0,3,11.49,263.78,B,B5,59267.0,2 years,1,55000.0,1,2017-05-01,0,0,188.0,23,20.69,1.0,670.0,674.0,24.0,0.0,0.0,10385.0,41.2,30.0,0,0,Oct-2005,0.0,1.0,0.0,2.0,6.0,6.0,2.0,3.0,16.0,10.0,14.0,6.0,24.0,0.0,0.0,0.0,1.0
636624,12000.0,3,6.24,366.37,A,A2,97.0,9 years,0,53000.0,0,2015-11-01,0,4,702.0,45,16.29,0.0,735.0,739.0,8.0,0.0,0.0,12078.0,60.7,19.0,1,0,Mar-2005,4.0,1.0,0.0,3.0,4.0,4.0,4.0,5.0,6.0,5.0,9.0,4.0,8.0,0.0,0.0,0.0,2.0
795507,32500.0,5,12.69,734.33,C,C2,92647.0,2 years,0,400000.0,2,2015-03-01,0,0,412.0,13,16.83,0.0,690.0,694.0,15.0,1.0,0.0,123996.0,95.5,26.0,0,0,May-1987,0.0,1.0,0.0,6.0,9.0,9.0,6.0,8.0,11.0,9.0,11.0,9.0,15.0,0.0,0.0,0.0,0.0
429556,10000.0,3,11.53,329.91,B,B5,14947.0,8 years,0,246000.0,1,2015-03-01,0,3,408.0,14,10.8,1.0,705.0,709.0,7.0,0.0,0.0,3095.0,49.1,28.0,1,0,Sep-1997,3.0,1.0,1.0,2.0,2.0,2.0,3.0,8.0,16.0,3.0,10.0,2.0,7.0,0.0,0.0,1.0,1.0
446465,9300.0,3,9.58,298.26,B,B1,385.0,3 years,2,43000.0,1,2018-05-01,0,4,286.0,16,27.49,0.0,735.0,739.0,7.0,0.0,0.0,9314.0,44.8,23.0,0,0,Aug-2001,4.0,1.0,0.0,2.0,3.0,3.0,3.0,11.0,8.0,5.0,15.0,3.0,7.0,0.0,0.0,0.0,2.0
434483,5350.0,3,16.99,190.72,D,D3,62.0,8 years,0,87916.0,1,2015-11-01,0,2,613.0,22,11.44,2.0,670.0,674.0,32.0,0.0,0.0,721.0,27.7,44.0,0,0,Aug-2007,5.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,39.0,2.0,4.0,2.0,32.0,0.0,0.0,1.0,2.0
626575,15050.0,3,10.16,486.76,B,B1,289885.0,10+ years,0,42000.0,0,2013-06-01,0,0,472.0,3,16.34,0.0,675.0,679.0,10.0,0.0,0.0,8092.0,38.2,30.0,1,0,Jan-1991,0.0,1.0,4.0,3.0,6.0,6.0,3.0,12.0,9.0,8.0,18.0,6.0,10.0,0.0,0.0,0.0,1.0
777557,10000.0,5,18.25,255.3,D,D3,205652.0,6 years,0,35000.0,0,2014-04-01,1,0,531.0,14,17.59,1.0,660.0,664.0,4.0,0.0,0.0,4328.0,96.2,14.0,1,0,Aug-2006,0.0,1.0,0.0,2.0,2.0,2.0,2.0,5.0,4.0,2.0,9.0,2.0,4.0,0.0,0.0,0.0,1.0
386197,8850.0,3,12.05,294.16,C,C1,1293.0,4 years,0,67000.0,0,2015-11-01,0,0,104.0,23,10.16,1.0,705.0,709.0,8.0,1.0,1.0,2163.0,36.0,16.0,0,0,Aug-1999,0.0,1.0,0.0,2.0,5.0,5.0,2.0,3.0,5.0,5.0,10.0,4.0,8.0,,0.0,0.0,3.0
111836,6400.0,3,7.9,200.26,A,A4,222227.0,< 1 year,0,115000.0,0,2013-08-01,0,0,186.0,9,8.72,1.0,705.0,709.0,13.0,0.0,0.0,23158.0,52.6,33.0,0,0,Nov-1987,38.0,1.0,0.0,3.0,6.0,6.0,3.0,4.0,7.0,9.0,14.0,6.0,13.0,0.0,0.0,0.0,0.0
673453,8075.0,3,17.09,288.26,D,D1,12687.0,1 year,0,38000.0,1,2017-10-01,1,0,289.0,16,22.36,0.0,720.0,724.0,9.0,0.0,0.0,7400.0,40.0,14.0,0,0,Apr-2006,0.0,1.0,1.0,2.0,2.0,2.0,5.0,6.0,4.0,5.0,6.0,2.0,9.0,0.0,0.0,0.0,1.0
458158,2175.0,3,7.62,67.78,A,A3,321542.0,3 years,0,53680.0,0,2013-01-01,0,3,340.0,14,11.42,0.0,785.0,789.0,12.0,0.0,0.0,7627.0,13.1,32.0,1,0,Jan-2000,3.0,1.0,1.0,2.0,3.0,3.0,7.0,10.0,7.0,10.0,18.0,3.0,12.0,0.0,0.0,0.0,1.0
780750,13000.0,3,14.65,448.43,C,C5,351.0,7 years,2,51000.0,1,2015-02-01,0,0,41.0,25,21.81,0.0,675.0,679.0,7.0,0.0,0.0,9994.0,52.1,16.0,1,0,Feb-1996,0.0,1.0,0.0,1.0,5.0,5.0,2.0,4.0,3.0,6.0,11.0,5.0,7.0,0.0,0.0,0.0,2.0
8717,16000.0,3,15.02,554.81,C,C3,54.0,,2,62000.0,1,2018-11-01,0,0,74.0,30,13.23,3.0,680.0,684.0,9.0,0.0,0.0,5339.0,35.4,19.0,0,0,Dec-1969,0.0,1.0,3.0,1.0,3.0,3.0,4.0,9.0,1.0,8.0,15.0,3.0,8.0,0.0,0.0,3.0,1.0
509097,24000.0,5,18.99,622.45,D,D3,376500.0,2 years,1,48000.0,0,2016-10-01,0,0,120.0,21,12.13,2.0,660.0,664.0,5.0,0.0,0.0,7570.0,76.5,15.0,0,0,Aug-2000,0.0,1.0,0.0,2.0,4.0,4.0,2.0,4.0,8.0,4.0,7.0,4.0,5.0,0.0,0.0,0.0,0.0
105807,5000.0,3,9.93,161.18,B,B2,142715.0,2 years,1,34000.0,2,2017-05-01,0,0,126.0,38,2.72,0.0,680.0,684.0,7.0,1.0,1.0,440.0,5.9,11.0,0,0,Dec-2007,0.0,1.0,0.0,2.0,3.0,3.0,3.0,4.0,3.0,7.0,8.0,3.0,7.0,0.0,0.0,0.0,1.0
552624,14250.0,3,14.99,493.92,C,C4,54.0,,0,38000.0,2,2017-03-01,1,4,296.0,5,25.14,0.0,680.0,684.0,12.0,1.0,1.0,10568.0,64.4,18.0,1,0,Apr-2004,4.0,1.0,0.0,2.0,7.0,7.0,2.0,4.0,4.0,9.0,11.0,7.0,12.0,0.0,0.0,0.0,0.0
242859,23500.0,5,19.89,621.17,E,E3,391.0,10+ years,0,90000.0,1,2016-01-01,0,0,60.0,30,19.1,6.0,665.0,669.0,20.0,0.0,0.0,4706.0,49.5,37.0,0,0,Mar-1988,0.0,1.0,1.0,3.0,6.0,6.0,5.0,7.0,5.0,16.0,26.0,7.0,20.0,0.0,0.0,0.0,4.0
287297,12000.0,3,7.26,371.96,A,A4,38.0,10+ years,0,49000.0,1,2015-10-01,0,0,188.0,23,22.88,0.0,685.0,689.0,24.0,0.0,0.0,13476.0,37.0,37.0,0,0,Nov-1999,0.0,1.0,0.0,5.0,11.0,11.0,8.0,10.0,17.0,11.0,19.0,10.0,24.0,,0.0,0.0,2.0
676175,9325.0,3,10.16,301.6,B,B1,287407.0,5 years,1,155000.0,0,2013-03-01,0,0,777.0,8,0.66,0.0,725.0,729.0,3.0,0.0,0.0,971.0,31.3,4.0,1,0,Jan-2010,558.0,1.0,0.0,2.0,3.0,3.0,2.0,3.0,0.0,3.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0
